,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Queen 40 Limited Edition Collector's Box Set,Queen,70sRock,2GAIycsMaDVtMtdvxzR2xI,Bohemian Rhapsody - Remastered 2011,0.254,0.397,354320,0.396,0.0,3,0.268,-9.91,1,0.05,142.913,4,0.227
1,Led Zeppelin IV (Deluxe Edition),Led Zeppelin,70sRock,5CQ30WqJwcep0pYcV4AMNc,Stairway To Heaven,0.58,0.338,482830,0.34,0.0032,9,0.116,-12.049,0,0.0339,82.433,4,0.197
2,Hotel California (Remastered),Eagles,70sRock,40riOy7x9W7GXjyGp4pjAv,Hotel California - Remastered,0.00574,0.579,391376,0.508,0.000494,2,0.0575,-9.484,1,0.027,147.125,4,0.609
3,London Calling,The Clash,70sRock,5jzma6gCzYtKB1DbEwFZKH,London Calling - Remastered,0.123,0.651,200480,0.801,0.0,0,0.0825,-7.34,1,0.0513,133.763,4,0.776
4,L.A. Woman,The Doors,70sRock,14XWXWv5FoCbFzLksawpEe,Riders On The Storm,0.25,0.549,434720,0.722,0.0138,11,0.11,-11.729,0,0.0283,103.885,4,0.716
5,Dressed To Kill,KISS,70sRock,6KTv0Z8BmVqM7DPxbGzpVC,Rock And Roll All Nite,0.0551,0.657,168827,0.932,0.0,1,0.047,-5.819,1,0.0992,144.751,4,0.888
6,Who Are You,The Who,70sRock,02DurCgOvDdX0uKEjqcl3W,Who Are You,0.299,0.653,381627,0.631,0.00265,9,0.0627,-11.334,1,0.0461,156.32,4,0.516
7,Hunky Dory (2015 Remastered Version),David Bowie,70sRock,0LrwgdLsFaWh9VXIjBRe8t,Changes - 2015 Remastered Version,0.505,0.547,217747,0.308,0.0,0,0.109,-11.75,1,0.0377,114.719,4,0.41
8,Cosmo's Factory (40th Anniversary Edition),Creedence Clearwater Revival,70sRock,3Bh6uInhcVBVvLraGZdkKD,Who'll Stop The Rain,0.0428,0.602,147493,0.801,0.000409,7,0.0739,-6.763,1,0.0344,123.562,4,0.576
9,Pearl (Legacy Edition),Janis Joplin,70sRock,1IqFh00G2kvvMm8pRMpehA,Me and Bobby McGee,0.302,0.453,271333,0.464,5.96e-05,2,0.152,-10.96,1,0.0431,93.19,4,0.658
10,Sticky Fingers (Remastered),The Rolling Stones,70sRock,52dm9op3rbfAkc1LGXgipW,Wild Horses,0.669,0.371,341773,0.404,0.00453,7,0.0805,-6.452,1,0.0255,74.386,4,0.153
11,Imagine,John Lennon,70sRock,7pKfPomDEeI4TPT6EOYjn9,Imagine - 2010 - Remaster,0.907,0.547,187867,0.257,0.183,0,0.0935,-12.358,1,0.0252,75.752,4,0.169
12,Let It Be (Remastered),The Beatles,70sRock,7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered,0.631,0.443,243027,0.403,0.0,0,0.111,-8.339,1,0.0322,143.462,4,0.41
13,Aerosmith,Aerosmith,70sRock,5MxNLUsfh7uzROypsoO5qe,Dream On,0.388,0.307,266960,0.433,9.08e-05,1,0.332,-10.057,1,0.029,160.9,4,0.224
14,Outlandos D'Amour,The Police,70sRock,0SYRVn2YF7HBscQEmlkpTI,Roxanne - Remastered 2003,0.026,0.608,191947,0.746,2.39e-06,0,0.043,-8.851,1,0.354,134.03,4,0.745
15,Highway to Hell,AC/DC,70sRock,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,0.0591,0.573,208400,0.913,0.00173,6,0.156,-4.793,0,0.132,115.715,4,0.422
16,Electric Warrior [Expanded & Remastered],T. Rex,70sRock,6FsQrRpBLgsrFeAeiQqytm,Bang a Gong (Get It On) - Remastered Version,0.157,0.729,267000,0.818,0.285,2,0.195,-9.992,1,0.0732,125.811,4,0.907
17,Machine Head,Deep Purple,70sRock,5SAUIWdZ04OxYfJFDchC7S,Smoke On The Water,0.0983,0.632,342173,0.586,0.581,0,0.0535,-11.333,1,0.0284,114.243,4,0.89
18,Santana's Greatest Hits,Santana,70sRock,4YMQXzscifAREG0a7KNGhB,Black Magic Woman,0.676,0.489,196467,0.349,0.0789,2,0.0866,-14.295,0,0.0323,124.348,4,0.622
19,Reggatta De Blanc,The Police,70sRock,5xD021bM8VbqrhCVhxRozx,Message In A Bottle - Remastered 2003,0.0338,0.582,290280,0.81,1.68e-05,1,0.202,-7.024,0,0.0396,151.006,4,0.875
20,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd,70sRock,5EWPGh7jbTNO2wakv8LjUI,Free Bird,0.0765,0.252,547107,0.844,0.00018,0,0.084,-8.121,1,0.0572,118.158,4,0.351
21,Slowhand 35th Anniversary (Super Deluxe),Eric Clapton,70sRock,3ykSdTGmYPFl8pDBXer1zG,Cocaine,0.043,0.698,221640,0.493,0.0429,9,0.308,-12.506,1,0.0278,105.268,4,0.671
