,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,In My Blood,Shawn Mendes,top100,79jX8RM5CgPqDKdGEKNW9K,In My Blood,0.0524,0.628,211600,0.715,0.0,5,0.119,-7.097,1,0.0541,139.991,4,0.429
1,Dos Minutos,DULCE LÓPEZ,top100,5lGRrpyncZwEXXs4O5vGt8,Dos Minutos,0.393,0.588,245380,0.798,0.0,6,0.109,-4.126,1,0.0615,155.713,4,0.698
2,Scary Hours,Drake,top100,2XW4DbS6NddZxRPm5rMCeY,God's Plan,0.0244,0.753,198960,0.454,5.62e-05,7,0.498,-9.488,1,0.0963,77.17,4,0.344
3,Dua Lipa (Deluxe),Dua Lipa,top100,2ekn2ttSfGqwhhate0LSR0,New Rules,0.00256,0.771,208827,0.696,9.71e-06,9,0.179,-6.258,0,0.0755,116.054,4,0.656
4,Finesse (Remix) [feat. Cardi B],Bruno Mars,top100,3Vo4wInECJQuz9BIBMOu8i,Finesse (Remix) [feat. Cardi B],0.0185,0.704,217289,0.859,0.0,5,0.0215,-4.877,0,0.0996,105.115,4,0.926
5,La Loca No Soy Yo,Kenya Saiz,top100,0sYm3c5chysXgZZSe3OQGc,Guerra Mundial,0.334,0.614,248320,0.958,0.0,4,0.31,-3.833,1,0.0816,135.009,4,0.413
6,Filthy,Justin Timberlake,top100,1L3NV7VrCiuE8C5QlhdeQL,Filthy,0.0354,0.745,293947,0.579,0.0118,1,0.246,-5.771,1,0.138,97.002,4,0.645
7,"Ay, Ay, Ay Amor (En Vivo)",Calo,top100,18mLuiwOxUI8wjMlzxRXsq,"Ay, Ay, Ay Amor - En Vivo",0.257,0.394,224387,0.979,9.32e-06,7,0.864,-1.578,0,0.18,100.874,4,0.605
8,Me Largo,Dai Liparoti,top100,0xM58jiyVWELjrR6rdNLku,Me Largo,0.0101,0.47,197722,0.521,0.0,6,0.0863,-9.548,0,0.0515,135.261,4,0.152
9,"For You (Fifty Shades Freed) [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]",Liam Payne,top100,5hM6sP0Gh1jD57drszNueC,For You (Fifty Shades Freed) (& Rita Ora),0.0188,0.483,244293,0.799,0.0,2,0.226,-4.567,0,0.0366,112.946,4,0.171
10,Lost In Japan,Shawn Mendes,top100,7wvYmO5QscgIDDT0eNwbYX,Lost In Japan,0.303,0.726,200133,0.708,0.0,7,0.348,-6.908,0,0.356,105.084,4,0.417
11,Havana,Camila Cabello,top100,0ofbQMrRDsUaVKq2mGLEAb,Havana,0.186,0.768,216897,0.517,3.8e-05,7,0.104,-4.323,0,0.0312,104.992,4,0.418
12,Déjà Vu (En Vivo),Calo,top100,0QdLftqCLEADnbRPAKimHk,Hasta el Amanecer - En Vivo,0.127,0.388,209707,0.925,0.0,1,0.935,-2.787,0,0.0654,99.977,4,0.529
13,NO ONE EVER REALLY DIES,N.E.R.D,top100,4PpuH4mxL0rD35mOWaLoKS,Lemon,0.00214,0.916,219707,0.727,0.000145,1,0.118,-6.556,1,0.0861,94.997,4,0.201
14,My My My!,Troye Sivan,top100,71T7xF5wLbDRg76jxAwDqA,My My My!,0.0043,0.697,204727,0.472,9.67e-05,1,0.044,-7.849,1,0.0779,102.983,4,0.49
15,Metamorfosis,JNS,top100,6s0GWZmWntEqjjzCDaVgIA,Me Haces Tanto Bien,0.343,0.758,186093,0.831,0.0,1,0.138,-3.851,1,0.0335,101.989,4,0.87
16,The Greatest Showman (Original Motion Picture Soundtrack),Keala Settle,top100,0c21wrimkYpYS8ueXL9rrB,This Is Me,0.00583,0.284,234707,0.704,0.000115,2,0.0424,-7.276,1,0.186,191.702,4,0.1
17,Grateful,DJ Khaled,top100,1OAh8uOEOvTDqkKFsKksCi,Wild Thoughts,0.0329,0.671,204173,0.672,0.0,0,0.118,-3.094,0,0.0688,97.98,4,0.632
18,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,top100,1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),0.779,0.587,259550,0.299,0.0,8,0.123,-7.365,1,0.0263,94.992,3,0.356
19,Too Good At Goodbyes,Sam Smith,top100,0mel2N9Ws9r4yLQn5QE21Y,Too Good At Goodbyes - Edit,0.658,0.653,201000,0.378,0.0,5,0.177,-8.273,1,0.0533,91.835,4,0.54
20,ANTI (Deluxe),Rihanna,top100,5oO3drDxtziYU2H1X23ZIp,Love On The Brain,0.0777,0.503,224000,0.632,1.3e-05,4,0.0758,-4.854,0,0.0492,171.92,3,0.369
21,What About Us,P!nk,top100,31MkGwj0SWgZaTvEt5Hgxv,What About Us,0.0254,0.386,271520,0.594,3.03e-06,1,0.0873,-6.186,1,0.0565,113.843,4,0.187
22,Fuego (Candela) [En Vivo],Calo,top100,2swp6CpeAqQy8a3JDu9pBd,Fuego (Candela) - En Vivo,0.172,0.601,210760,0.993,0.0,2,0.954,-1.211,0,0.156,180.048,4,0.739
23,Sick Boy...You Owe Me,The Chainsmokers,top100,2IKZkwHI5zsZf70STuhvOX,Sick Boy,0.104,0.548,193893,0.58,0.0,11,0.127,-7.524,0,0.121,180.066,4,0.462
24,Pray For Me (with Kendrick Lamar),The Weeknd,top100,6ZNo7Vi0TE9ul1fhKd4S1M,Pray For Me (with Kendrick Lamar),0.092,0.734,211440,0.667,2.12e-05,2,0.104,-4.996,1,0.0871,100.578,4,0.165
25,Say Something,Justin Timberlake,top100,09ts3GnICqYEU5PkQCpJK3,Say Something,0.103,0.707,278893,0.632,1.09e-05,10,0.0841,-7.031,1,0.0789,97.04,4,0.372
26,In The Night,Claptone,top100,45498paIaNnX2YvyeyR8IB,In The Night,0.599,0.789,177507,0.686,3.95e-05,5,0.132,-5.182,1,0.0285,123.018,4,0.891
27,Feel It Still,Portugal. The Man,top100,7FESgYLcOufHqKlwrvJN60,Feel It Still,0.0406,0.78,163251,0.798,6.31e-05,1,0.0733,-5.151,0,0.0613,78.969,4,0.771
28,Supplies,Justin Timberlake,top100,4Z6YruMINNspGet1gQyYlK,Supplies,0.00695,0.793,225600,0.554,0.0,11,0.127,-6.624,0,0.0451,119.993,4,0.225
29,Culture II,Migos,top100,2UVbBKQOdFAekPTRsnkzcf,Stir Fry,0.00299,0.815,190288,0.816,0.0,2,0.159,-5.474,1,0.269,181.967,4,0.498
30,reputation,Taylor Swift,top100,2x0WlnmfG39ZuDmstl9xfX,End Game,0.00806,0.453,244827,0.6,0.0,2,0.111,-6.217,1,0.15,159.088,4,0.154
