,Unnamed: 0,album,artist,genre,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,track_id,index,energy_level,positivity_level
0,0,Falling,Lina Mayer,Pop,Falling,0.0315,0.447,201385,0.594,1.02e-06,5,0.111,-5.996,1,0.0448,164.05,4,0.521,Sensual,2wYHz0GOHV49Xezd5mWTDP,Sensual,0.0,0.0
1,1,No Tears Left To Cry,Ariana Grande,Pop,No Tears Left To Cry,0.0375,0.703,205947,0.696,5.65e-06,0,0.27399999999999997,-5.482,1,0.0529,121.969,4,0.366,,5SxkdsY1ufZzoq9iXceLw9,,,
2,2,The Middle,Zedd,Pop,The Middle,0.20800000000000002,0.748,184732,0.652,0.0,7,0.128,-3.02,1,0.057999999999999996,106.914,4,0.431,,2ARqIya5NAuvFVHSN3bL0m,,,
3,3,Never Be the Same (Radio Edit),Camila Cabello,Pop,Never Be the Same - Radio Edit,0.156,0.652,227077,0.682,0.00013000000000000002,0,0.121,-4.38,1,0.0788,129.942,4,0.26899999999999996,Yearning,0BlY60NrN0fFWbdW3RW40q,Yearning,0.0,-1.0
4,4,All Your Fault: Pt. 2,Bebe Rexha,Pop,Meant to Be (feat. Florida Georgia Line),0.047,0.643,163870,0.7829999999999999,0.0,10,0.083,-6.457999999999999,1,0.0856,154.084,4,0.579,Sensual,7iDa6hUg2VgEL1o1HjmfBn,Sensual,0.0,0.0
5,5,Finesse (Remix) [feat. Cardi B],Bruno Mars,Pop,Finesse (Remix) [feat. Cardi B],0.0185,0.7040000000000001,217289,0.8590000000000001,0.0,5,0.0215,-4.877,0,0.0996,105.115,4,0.9259999999999999,Cool,3Vo4wInECJQuz9BIBMOu8i,Cool,-1.0,-1.0
6,6,Pray For Me (with Kendrick Lamar),The Weeknd,Pop,Pray For Me (with Kendrick Lamar),0.0805,0.728,211440,0.6679999999999999,1.49e-05,2,0.102,-5.02,1,0.126,100.537,4,0.162,Cool,4ofvoCdXq99vpMZO4Cfp8x,Cool,-1.0,-1.0
7,7,Scary Hours,Drake,Pop,God's Plan,0.0283,0.755,198960,0.44799999999999995,3.28e-05,7,0.514,-9.587,1,0.107,77.179,4,0.318,,6T8cJz5lAqGer9GUHGyelE,,,
8,8,Him & I,G-Eazy,Pop,Him & I,0.0534,0.589,268867,0.731,0.0,2,0.308,-6.343,1,0.0868,87.90799999999999,4,0.191,Cool,3YU6vJbjYUG0tiJyXf9x5V,Cool,-1.0,-1.0
9,9,Perception,NF,Pop,Let You Down,0.33,0.659,212120,0.716,0.0,5,0.17300000000000001,-5.672999999999999,0,0.111,148.015,4,0.43700000000000006,Rowdy,6mrKP2jyIQmM0rw6fQryjr,Rowdy,2.0,1.0
10,10,Dua Lipa (Deluxe),Dua Lipa,Pop,New Rules,0.00256,0.7709999999999999,208827,0.696,9.71e-06,9,0.179,-6.257999999999999,0,0.0755,116.054,4,0.6559999999999999,Sensual,2ekn2ttSfGqwhhate0LSR0,Sensual,0.0,0.0
11,11,÷ (Deluxe),Ed Sheeran,Pop,Perfect,0.163,0.599,263400,0.44799999999999995,0.0,8,0.106,-6.312,1,0.0232,95.05,3,0.168,Empowering,0tgVpDi06FyKpA1z0VMD4v,Empowering,0.0,1.0
12,12,Evolve,Imagine Dragons,Pop,Whatever It Takes,0.0429,0.675,201240,0.649,0.0,1,0.128,-4.953,1,0.0315,134.955,4,0.537,,4IWAyPf1KMq7JCyGeCjTeH,,,
13,13,Red Pill Blues (Deluxe),Maroon 5,Pop,Wait,0.0889,0.659,190643,0.604,0.0,8,0.105,-5.084,1,0.0542,126.135,4,0.40700000000000003,,1Qg9jWGDkKAGZXj5v2OG59,,,
14,14,Mine,Bazzi,Pop,Mine,0.013999999999999999,0.716,133995,0.805,3.1e-06,4,0.29100000000000004,-3.839,1,0.0856,142.886,4,0.7190000000000001,Sensual,6tHWl8ows5JOZq9Yfaqn3M,Sensual,0.0,0.0
15,15,FRIENDS,Marshmello,Pop,FRIENDS,0.205,0.626,202621,0.88,0.0,9,0.128,-2.384,0,0.0504,95.079,4,0.534,Energizing,08bNPGLD8AhKpnnERrAc6G,Energizing,2.0,0.0
16,16,In My Blood,Shawn Mendes,Pop,In My Blood,0.0524,0.628,211600,0.715,0.0,5,0.11900000000000001,-7.097,1,0.0541,139.991,4,0.429,,79jX8RM5CgPqDKdGEKNW9K,,,
17,17,Man of the Woods,Justin Timberlake,Pop,Say Something,0.10300000000000001,0.7070000000000001,278893,0.632,1.09e-05,10,0.0841,-7.031000000000001,1,0.0789,97.04,4,0.37200000000000005,Yearning,1LhMopPAallLeaeNutqbgS,Yearning,0.0,-1.0
18,18,No Excuses,Meghan Trainor,Pop,No Excuses,0.0224,0.8270000000000001,152862,0.6579999999999999,0.0,6,0.0417,-3.846,1,0.0517,115.016,4,0.523,Excited,7fCNUWi6uflDTQ08srxMZk,Excited,2.0,2.0
19,19,I Like Me Better,Lauv,Pop,I Like Me Better,0.535,0.752,197437,0.505,2.55e-06,9,0.10400000000000001,-7.621,1,0.253,91.97,4,0.419,,1wjzFQodRWrPcQ0AnYnvQ9,,,
20,20,All The Stars (with SZA),Kendrick Lamar,Pop,All The Stars (with SZA),0.0322,0.715,235540,0.62,0.0142,5,0.0881,-5.428,0,0.0507,96.81200000000001,4,0.456,Sensual,12SJpYZEdj4kzWZ8FPFg4Y,Sensual,0.0,0.0
21,21,Tell Me You Love Me,Demi Lovato,Pop,Tell Me You Love Me,0.0247,0.516,236987,0.5920000000000001,0.0,3,0.18100000000000002,-5.465,0,0.0566,82.05,4,0.271,Yearning,5Htb1uFQ1KrkFXlefS8oGj,Yearning,0.0,-1.0
22,22,Psycho (feat. Ty Dolla $ign),Post Malone,Pop,Psycho (feat. Ty Dolla $ign),0.59,0.748,220880,0.546,0.0,8,0.11199999999999999,-8.134,1,0.106,140.005,4,0.413,Sensual,7wrDRQgHlvDnimrRHfQZxt,Sensual,0.0,0.0
23,23,IDGAF,Dua Lipa,Pop,IDGAF,0.0433,0.836,218173,0.552,0.0,7,0.0773,-5.66,1,0.0851,97.036,4,0.525,Yearning,5BG3hnp2SmFmoBIs3YTqsm,Yearning,0.0,-1.0
24,24,Want You Back,5 Seconds of Summer,Pop,Want You Back,0.00748,0.608,173073,0.873,0.0,0,0.196,-4.928,1,0.0424,98.009,4,0.589,Excited,2Pvr8rYuh5J8V7QglJhH6W,Excited,2.0,2.0
25,25,reputation,Taylor Swift,Pop,Delicate,0.21600000000000003,0.75,232253,0.40399999999999997,0.000357,9,0.0911,-10.177999999999999,0,0.0682,95.045,4,0.0499,Sensual,7CneiDesUKFJO3Ix01dnfr,Sensual,0.0,0.0
26,26,Flicker (Deluxe),Niall Horan,Pop,On The Loose,0.00745,0.721,223814,0.613,2.55e-06,11,0.125,-7.051,0,0.0332,124.012,4,0.665,,4kVo85bcmBkvMBcJl42XCA,,,
27,27,Alone (Feat. Big Sean & Stefflon Don),Halsey,Pop,Alone (Feat. Big Sean & Stefflon Don),0.0164,0.445,207458,0.662,0.0,2,0.21899999999999997,-4.802,0,0.18100000000000002,200.04,4,0.479,,3tbNT2X5tfMIVeUflYbZUZ,,,
28,28,No Roots,Alice Merton,Pop,No Roots,0.264,0.863,235813,0.657,0.00619,7,0.0713,-7.295,1,0.105,115.958,4,0.8290000000000001,Cool,7anBA0IdgFaN3Pbyk2tog0,Cool,-1.0,-1.0
29,29,Sit Next to Me (Versions),Foster The People,Pop,Sit Next to Me - Radio Edit,0.0865,0.6779999999999999,202600,0.747,0.000174,6,0.147,-5.416,0,0.0289,97.00399999999999,4,0.815,Yearning,3E5NUvTLszM8uymKQ227MP,Yearning,0.0,-1.0
30,30,Trust Fund Baby,Why Don't We,Pop,Trust Fund Baby,0.0629,0.624,184460,0.785,0.0,8,0.135,-3.3369999999999997,1,0.0498,163.929,4,0.593,Sensual,54j7EaJPDmSZYcNYvLSJ78,Sensual,0.0,0.0
31,31,One Kiss (with Dua Lipa),Calvin Harris,Pop,One Kiss (with Dua Lipa),0.037000000000000005,0.7909999999999999,214847,0.862,2.1899999999999997e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.5920000000000001,,7ef4DlsgrMEH11cDZd32M6,,,
32,32,Done For Me (feat. Kehlani),Charlie Puth,Pop,Done For Me (feat. Kehlani),0.17300000000000001,0.8540000000000001,180535,0.627,0.0,6,0.0663,-3.737,0,0.0732,112.00299999999999,4,0.722,Energizing,76S09sHj7GGMJAtOLjmVQ2,Energizing,2.0,0.0
33,33,Everyday,Logic,Pop,Everyday,0.0426,0.675,204827,0.748,0.0,1,0.0785,-3.947,1,0.0388,149.923,4,0.469,,6zOhgKfbMiQWToE6K13s2s,,,
34,34,Sick Boy...Everybody Hates Me,The Chainsmokers,Pop,Everybody Hates Me,0.00836,0.47100000000000003,224027,0.755,0.0,11,0.368,-6.612,0,0.0455,154.80100000000002,4,0.512,Excited,3pIigjAWkzwAonXpJ1fmSF,Excited,2.0,2.0
35,35,Merengue,Kent Jones,Pop,Merengue,0.47,0.7170000000000001,191032,0.8640000000000001,0.0,1,0.147,-3.2310000000000003,1,0.21600000000000003,112.97,4,0.738,Energizing,3EypXSP7JVjtusvnBtAIBo,Energizing,2.0,0.0
36,36,Culture II,Migos,Pop,Stir Fry,0.00316,0.8140000000000001,190288,0.8190000000000001,0.0,2,0.133,-5.48,1,0.251,181.958,4,0.517,Defiant,2tek8UnoiJdkmpPMqa5KRQ,Defiant,2.0,-1.0
37,37,Love Lies (with Normani),Khalid,Pop,Love Lies (with Normani),0.0956,0.708,201707,0.648,0.0,6,0.134,-5.626,1,0.0449,143.955,4,0.33799999999999997,Yearning,45Egmo7icyopuzJN0oMEdk,Yearning,0.0,-1.0
