,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Queen 40 Limited Edition Collector's Box Set,Queen,70sRock,2GAIycsMaDVtMtdvxzR2xI,Bohemian Rhapsody - Remastered 2011,0.254,0.397,354320,0.396,0,3,0.268,-9.91,1,0.05,142.913,4,0.227
1,Led Zeppelin IV (Deluxe Edition),Led Zeppelin,70sRock,5CQ30WqJwcep0pYcV4AMNc,Stairway To Heaven,0.58,0.338,482830,0.34,0.0032,9,0.116,-12.049,0,0.0339,82.433,4,0.197
2,Hotel California (Remastered),Eagles,70sRock,40riOy7x9W7GXjyGp4pjAv,Hotel California - Remastered,0.00574,0.579,391376,0.508,0.000494,2,0.0575,-9.484,1,0.027,147.125,4,0.609
3,London Calling,The Clash,70sRock,5jzma6gCzYtKB1DbEwFZKH,London Calling - Remastered,0.123,0.651,200480,0.801,0,0,0.0825,-7.34,1,0.0513,133.763,4,0.776
4,L.A. Woman,The Doors,70sRock,14XWXWv5FoCbFzLksawpEe,Riders On The Storm,0.25,0.549,434720,0.722,0.0138,11,0.11,-11.729,0,0.0283,103.885,4,0.716
5,Dressed To Kill,KISS,70sRock,6KTv0Z8BmVqM7DPxbGzpVC,Rock And Roll All Nite,0.0551,0.657,168827,0.932,0,1,0.047,-5.819,1,0.0992,144.751,4,0.888
6,Who Are You,The Who,70sRock,02DurCgOvDdX0uKEjqcl3W,Who Are You,0.299,0.653,381627,0.631,0.00265,9,0.0627,-11.334,1,0.0461,156.32,4,0.516
7,Hunky Dory (2015 Remastered Version),David Bowie,70sRock,0LrwgdLsFaWh9VXIjBRe8t,Changes - 2015 Remastered Version,0.505,0.547,217747,0.308,0,0,0.109,-11.75,1,0.0377,114.719,4,0.41
8,Cosmo's Factory (40th Anniversary Edition),Creedence Clearwater Revival,70sRock,3Bh6uInhcVBVvLraGZdkKD,Who'll Stop The Rain,0.0428,0.602,147493,0.801,0.000409,7,0.0739,-6.763,1,0.0344,123.562,4,0.576
9,Pearl (Legacy Edition),Janis Joplin,70sRock,1IqFh00G2kvvMm8pRMpehA,Me and Bobby McGee,0.302,0.453,271333,0.464,5.96E-05,2,0.152,-10.96,1,0.0431,93.19,4,0.658
10,Sticky Fingers (Remastered),The Rolling Stones,70sRock,52dm9op3rbfAkc1LGXgipW,Wild Horses,0.669,0.371,341773,0.404,0.00453,7,0.0805,-6.452,1,0.0255,74.386,4,0.153
11,Imagine,John Lennon,70sRock,7pKfPomDEeI4TPT6EOYjn9,Imagine - 2010 - Remaster,0.907,0.547,187867,0.257,0.183,0,0.0935,-12.358,1,0.0252,75.752,4,0.169
12,Let It Be (Remastered),The Beatles,70sRock,7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered,0.631,0.443,243027,0.403,0,0,0.111,-8.339,1,0.0322,143.462,4,0.41
13,Aerosmith,Aerosmith,70sRock,5MxNLUsfh7uzROypsoO5qe,Dream On,0.388,0.307,266960,0.433,9.08E-05,1,0.332,-10.057,1,0.029,160.9,4,0.224
14,Outlandos D'Amour,The Police,70sRock,0SYRVn2YF7HBscQEmlkpTI,Roxanne - Remastered 2003,0.026,0.608,191947,0.746,2.39E-06,0,0.043,-8.851,1,0.354,134.03,4,0.745
15,Highway to Hell,AC/DC,70sRock,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,0.0591,0.573,208400,0.913,0.00173,6,0.156,-4.793,0,0.132,115.715,4,0.422
16,Electric Warrior [Expanded & Remastered],T. Rex,70sRock,6FsQrRpBLgsrFeAeiQqytm,Bang a Gong (Get It On) - Remastered Version,0.157,0.729,267000,0.818,0.285,2,0.195,-9.992,1,0.0732,125.811,4,0.907
17,Machine Head,Deep Purple,70sRock,5SAUIWdZ04OxYfJFDchC7S,Smoke On The Water,0.0983,0.632,342173,0.586,0.581,0,0.0535,-11.333,1,0.0284,114.243,4,0.89
18,Santana's Greatest Hits,Santana,70sRock,4YMQXzscifAREG0a7KNGhB,Black Magic Woman,0.676,0.489,196467,0.349,0.0789,2,0.0866,-14.295,0,0.0323,124.348,4,0.622
19,Reggatta De Blanc,The Police,70sRock,5xD021bM8VbqrhCVhxRozx,Message In A Bottle - Remastered 2003,0.0338,0.582,290280,0.81,1.68E-05,1,0.202,-7.024,0,0.0396,151.006,4,0.875
20,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd,70sRock,5EWPGh7jbTNO2wakv8LjUI,Free Bird,0.0765,0.252,547107,0.844,0.00018,0,0.084,-8.121,1,0.0572,118.158,4,0.351
21,Slowhand 35th Anniversary (Super Deluxe),Eric Clapton,70sRock,3ykSdTGmYPFl8pDBXer1zG,Cocaine,0.043,0.698,221640,0.493,0.0429,9,0.308,-12.506,1,0.0278,105.268,4,0.671
22,"Lola Versus Powerman and the Moneygoround, Pt. One",The Kinks,70sRock,0UAJH0k4k3slcE83a9UGCe,Lola - Coca Cola Version,0.582,0.474,241040,0.917,0.231,9,0.201,-4.19,1,0.0395,152.113,4,0.902
23,Led Zeppelin IV (Deluxe Edition),Led Zeppelin,70sRock,3qT4bUD1MaWpGrTwcvguhb,Black Dog,0.396,0.437,295387,0.864,0.0314,4,0.242,-7.842,0,0.0904,81.394,4,0.749
24,Ramones - 40th Anniversary Deluxe Edition (Remastered),Ramones,70sRock,4KcH1ZRV2W1q7Flq0QqC76,Blitzkrieg Bop - 2016 Remastered Version,0.000269,0.385,134467,0.783,0.47,9,0.108,-2.533,1,0.233,176.701,4,0.902
25,In Color,Cheap Trick,70sRock,1JkZg3eMQTmTn93E8Yd3UL,I Want You to Want Me,0.78,0.806,191227,0.462,0.0134,2,0.15,-12.778,1,0.0298,92.726,4,0.736
26,Kiss (Remastered Version),KISS,70sRock,6PmckFG2BhEELc5OM7O7DS,Black Diamond,0.0889,0.321,313467,0.627,0.00878,8,0.0699,-9.509,0,0.0542,132.855,4,0.141
27,The Roaring Silence,Manfred Mann's Earth Band,70sRock,7kNNylJ1kswWbHeRM6UDuE,Blinded By The Light,0.291,0.456,428133,0.696,0.000207,5,0.0853,-10,1,0.0653,142.156,4,0.508
28,Tom Petty & The Heartbreakers,Tom Petty and the Heartbreakers,70sRock,7MRyJPksH3G2cXHN8UKYzP,American Girl,0.448,0.55,214733,0.824,0.000127,2,0.366,-5.988,1,0.0334,114.512,4,0.777
29,The Dark Side of the Moon,Pink Floyd,70sRock,05uGBKRCuePsf43Hfm0JwX,Brain Damage,0.0726,0.322,226667,0.265,0.34,2,0.366,-13.398,1,0.0302,133.577,4,0.207
30,The Wall,Pink Floyd,70sRock,5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,0.15,0.472,382297,0.366,0.308,11,0.0837,-12.595,0,0.0286,127.167,4,0.171
31,Born To Run,Bruce Springsteen,70sRock,6hTcuIQa0sxrrByu9wTD7s,Born to Run,0.00501,0.27,269920,0.944,2.05E-05,4,0.116,-4.199,1,0.0975,146.347,4,0.606
32,Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered),Derek & The Dominos,70sRock,2kkvB3RNRzwjFdGhaUA0tz,Layla - 40th Anniversary Version / 2010 Remastered,0.584,0.394,423840,0.918,0.332,1,0.309,-3.743,1,0.0709,115.646,4,0.479
33,The Cars,The Cars,70sRock,4alHo6RGd0D3OUbTPExTHN,Just What I Needed,0.0152,0.619,225627,0.579,6.40E-05,4,0.0858,-9.307,1,0.0473,127.224,4,0.69
34,"Never Mind The Bollocks, Here's The Sex Pistols",Sex Pistols,70sRock,3LoDeIbiR12sAznmpNEmKA,Anarchy In The U.K.,0.0422,0.323,211973,0.978,0.00019,5,0.201,-3.841,1,0.118,134.222,4,0.168
35,The Best Of Don McLean,Don McLean,70sRock,2QgWuCtBpNIpl5trmKCxRf,American Pie,0.6,0.527,515867,0.509,0,7,0.144,-10.893,1,0.0628,138.317,4,0.497
36,Aqualung,Jethro Tull,70sRock,5UuikgHTxSRFRnC0zXx10i,Aqualung,0.00809,0.453,395293,0.601,0.000761,5,0.304,-9.537,1,0.0621,122.591,4,0.486
37,Thirty Years Of Maximum R&B,The Who,70sRock,0Rp4akmfqBTpbDM6EoqtNy,Won't Get Fooled Again - Original Album Version,0.233,0.685,511293,0.806,0.728,2,0.105,-12.151,1,0.0497,134.889,4,0.31
38,Paranoid (Remastered Edition),Black Sabbath,70sRock,3IOQZRcEkplCXg6LofKqE9,Iron Man - Remastered Version,0.00349,0.336,355304,0.792,0.00178,9,0.0437,-10.875,1,0.0848,155.588,4,0.425
39,Jailbreak (Deluxe Edition),Thin Lizzy,70sRock,43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,0.245,0.444,266720,0.719,0.000382,8,0.306,-9.742,1,0.0481,80.593,4,0.775
40,Toys In The Attic,Aerosmith,70sRock,5SZ6zX4rOrEQferfFC2MfP,Walk This Way,0.0114,0.653,220400,0.73,1.03E-05,5,0.0754,-10.613,1,0.043,108.705,4,0.894
41,The Definitive Rod Stewart,Rod Stewart,70sRock,1r3kj1yMff7ilIsR7hpvUo,Maggie May - Remastered Version,0.717,0.62,345680,0.559,0.433,2,0.133,-10.568,1,0.0369,129.401,4,0.527
42,The Joker,Steve Miller Band,70sRock,1bp2IO61zbQrbWNmKKxg3f,The Joker,0.394,0.424,264504,0.446,3.78E-06,5,0.16,-9.618,1,0.0525,165.158,4,0.794
43,News Of The World (Deluxe Remastered Version),Queen,70sRock,54flyrjcdnQdco7300avMJ,We Will Rock You - Remastered 2011,0.688,0.692,122067,0.488,0,11,0.4,-7.282,0,0.104,81.4,4,0.51
