album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Dreaming Out Loud,OneRepublic,Pop,1NrJYpdAi7uosDRPmSYrsG,Apologize,0.348,0.591,208107,0.718,0.000118,8,0.107,-6.025,1,0.0368,117.995,4,0.468
Illuminate (Deluxe),Shawn Mendes,Pop,7evPpWWu01Klxi0KlPxR17,Mercy,0.133,0.568,208733,0.686,0,11,0.11,-4.901,0,0.0903,148.294,4,0.4
1950,King Princess,Pop,0CZ8lquoTX2Dkg7Ak2inwA,1950,0.648,0.6,225133,0.535,4.70E-06,4,0.162,-7.043,1,0.107,71.912,4,0.269
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,Pop,1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),0.779,0.587,259550,0.299,0,8,0.123,-7.365,1,0.0263,94.992,3,0.356
In The Lonely Hour,Sam Smith,Pop,5Db9VIdDsN5yu3Eu7CT0i4,Stay With Me,0.568,0.479,172724,0.419,0.000217,0,0.11,-6.517,1,0.0389,85.014,4,0.186
Nevermind,Dennis Lloyd,Pop,63SevszngYpZOwf63o61K4,Nevermind,0.159,0.601,156600,0.688,1.29E-05,5,0.414,-8.374,0,0.202,99.933,4,0.0793
Eyes Open,Snow Patrol,Pop,11bD1JtSjlIgKgZG2134DZ,Chasing Cars,0.193,0.557,267933,0.609,7.69E-05,9,0.135,-4.463,1,0.0259,104.01,4,0.172
21,Adele,Pop,3CKCZ9pfwAfoMZlMncA1Nc,Set Fire to the Rain,0.00382,0.61,241693,0.683,1.79E-06,2,0.125,-3.879,0,0.0253,108.003,4,0.466
x (Deluxe Edition),Ed Sheeran,Pop,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,0.607,0.614,258987,0.379,0.000464,4,0.0986,-10.48,1,0.0476,107.989,4,0.201
Title (Deluxe),Meghan Trainor,Pop,2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You,0.4,0.63,225053,0.53,0,0,0.177,-7.259,1,0.0434,108.038,3,0.417
Nothing to Regret,Robinson,Pop,3C2xQqHVkhA1Ht17SzPRke,Nothing to Regret,0.243,0.697,208486,0.521,0,5,0.189,-6.519,1,0.031,91.998,4,0.331
Back from the Edge,James Arthur,Pop,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,0.695,0.358,211467,0.557,0,10,0.0902,-7.398,1,0.059,85.043,4,0.494
Know-It-All (Deluxe),Alessia Cara,Pop,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,0.0294,0.591,230227,0.741,0,0,0.11,-5.751,1,0.139,97.048,4,0.452
In The Lonely Hour,Sam Smith,Pop,0fioLzGM8ngbD1w6fMmm45,I'm Not The Only One,0.554,0.453,239317,0.496,2.65E-05,5,0.0772,-5.785,1,0.0453,80.994,4,0.501
Please Don't Go,Joel Adams,Pop,3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,0.0118,0.513,210580,0.768,1.94E-05,4,0.294,-4.868,0,0.0587,84.264,4,0.235
Issues,Julia Michaels,Pop,6AeQlMyRzvSl1nkFztZyKl,Issues,0.416,0.704,176347,0.423,0,8,0.0607,-6.792,1,0.0862,113.962,4,0.451
Too Good At Goodbyes,Sam Smith,Pop,7oAraczbemGSNWqnbkU87R,Too Good At Goodbyes,0.618,0.515,201000,0.378,0,5,0.172,-8.264,1,0.065,91.883,4,0.536
